Chip Run Info,C:\Users\Pierre\Desktop\hIPSC project\1362362588_plate2_v2_human_lineage_10-4-18\ChipRun.bml,1362362588,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,10/04/2018 3:51:47 PM,01:54:01,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.3.1
Application Build,20170404.1035
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S06-A69,FA1 Day3 B,Unknown,1,Dcx,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A68,FA1 Day3 B,Unknown,1,Cd34,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A67,FA1 Day3 B,Unknown,1,Smtn,Test,15.9909708190871,0.767350744464453,Pass,0.0113351551779112,86.4019607526756,999,1
S06-A78,FA1 Day3 B,Unknown,1,Gata6,Test,17.0958480868781,1,Pass,0.0113351551779112,79.878506283721,999,1
S06-A77,FA1 Day3 B,Unknown,1,Alb,Test,22.9573927784295,1,Pass,0.0113351551779112,80.0855214856703,999,1
S06-A76,FA1 Day3 B,Unknown,1,Pdx1,Test,29.97728821165,0.895415354871382,Pass,0.0113351551779112,89.0350944654572,999,1
S06-A75,FA1 Day3 B,Unknown,1,Sox7,Test,32.5426516064894,0.742617491533506,Pass,0.0113351551779112,88.0565922643509,999,1
S06-A74,FA1 Day3 B,Unknown,1,Lhx1,Test,20.9506774742537,1,Pass,0.0113351551779112,81.7484195802909,999,1
S06-A73,FA1 Day3 B,Unknown,1,Pou5f1,Test,19.1418630323192,1,Pass,0.0113351551779112,85.3298566394945,999,1
S06-A84,FA1 Day3 B,Unknown,1,,Test,999,0,Fail,0.0113351551779112,999,999,0
